residual_std_batch_step,beta_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch
0.05467149242758751,0.699999988079071,0,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,1,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,2,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,3,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,4,,,,,,,,,,,,,
,,14,0.376013845205307,-0.014627096243202686,0.3613525331020355,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,2.6832847595214844,0,,,
,,14,,,,,0.7000004053115845,,,24.0,,0,0.7000004053115845,0.7000004053115845,23.690410614013672
0.05467149242758751,0.699999988079071,5,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,6,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,7,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,8,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,9,,,,,,,,,,,,,
,,29,0.0782918855547905,-0.014627096243202686,0.06365966796875,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.540357232093811,1,,,
